Sección;ID Sección;SKU Sección;SKU Name Sección;Nombre;Precio;SKU;SKU Name;Descripción;Imagen;ID;GTIN;Stock;Global Catalog ID;Indice
Pizzas;3327792;;;Pizza con jamón;1950.0;;;Salsa de tomate, muzzarella, jamón, aceitunas, orégano.;;57448029;;;;4
Empanadas;3327793;;;Empanada de Carne;285.0;;;empanadas de carne.;;57448031;;;;1
Pizzas;3327792;;;Pizza de muzzarella;1850.0;;;Salsa de tomate, mozarella, aceitunas, orégano.;;57463247;;;;1
Pizzas;3327792;;;Pizza con jamón y morrón;2050.0;;;Salsa de tomate, muzzarella, jamón, morrón, aceitunas, orégano.;;57463869;;;;6
Pizzas;3327792;;;Pizza con morrón;1940.0;;;Salsa de tomate, muzzarella, morrón, aceitunas, orégano.;;57464321;;;;5
Pizzas;3327792;;;Fugazzeta;2000.0;;;Muzzarella, cebolla, aceitunas, orégano.;;57464532;;;;2
Pizzas;3327792;;;Pizza muzzarella con huevo hervido;1950.0;;;Salsa de tomate, muzzarella, huevo hervido, aceitunas, orégano.;;57465258;;;;7
Pizzas;3327792;;;Pizza con rodajas de tomate y albahaca;1980.0;;;Salsa de tomate, muzzarella, rodajas de tomate, pesto de albahaca, aceitunas y orégano.;;57465714;;;;10
Pizzas;3327792;;;Pizza primavera;2180.0;;;Salsa de tomate, muzzarella, jamón, huevo, morrón, aceituna, orégano.;;57476991;;;;12
Empanadas;3327793;;;Empanada de Pollo;285.0;;;empanadas de pollo.;;57477491;;;;3
Empanadas;3327793;;;Empanada de Jamón y Queso;285.0;;;empanadas de jamon y queso.;;57477501;;;;4
Empanadas;3327793;;;Empanada de Cebolla y Queso;285.0;;;empanadas de cebolla y queso.;;57477641;;;;5
Empanadas;3327793;;;Empanada de Verdura;285.0;;;empanadas rellenas de acelga, cebolla y queso.;;57477670;;;;10
Empanadas por Docena;3347531;;;Empanadas Media Docena;1780.0;;;Media docena de empanadas, gustos a elección.;;57665387;;;;1
Empanadas por Docena;3347531;;;Empanadas docena;3220.0;;;Docena de empanadas, gustos a elección.;;57665413;;;;2
Empanadas;3327793;;;Empanada De Calabaza y queso;285.0;;;empanada de calabaza y queso.;;58181039;;;;6
Empanadas;3327793;;;Empanada capresse;285.0;;;empanadas de tomate, queso y albaca.;;58181094;;;;9
Pizzas;3327792;;;Pizza con jamón y Huevo;2010.0;;;Salsa de tomate, muzzarella, jamón, huevo, aceituna, orégano.;;58186642;;;;8
Pizzas;3327792;;;Pizza de muzzarella con rodajas de berenjena;560.0;;;Salsa de tomate, mozarella, berenjena, aceitunas, orégano.;;60931267;;;;14
Pizzas;3327792;;;Pizza con morrón y huevo;2010.0;;;Salsa de tomate, muzzarella, morrón, huevo, aceitunas, orégano.;;67642024;;;;9
Empanadas;3327793;;;Empanda de humita;285.0;;;empanada rellena de choclo, cebolla y queso.;;69318453;;;;8
Pizzas;3327792;;;Pizza calabresa;2000.0;;;muzzarela, calabresa, salsa de tomate, aceitunas y orégano.;;72776207;;;;3
Pizzas;3327792;;;Pizza napolitana;2180.0;;;Salsa de tomate, mozarella, jamón, tomate, huevo, aceitunas y orégano.;;74328926;;;;11
Empanadas;3327793;;;Empanada de soja;285.0;;;empanadas de soja.;;75102646;;;;2
Empanadas;3327793;;;Empanada de atún;285.0;;;empanada de atun.;;77823341;;;;7
Pizzas;3327792;;;Pizza napolitana Con morrón;2260.0;;;Salsa de tomate, mozarella, aceitunas, morrón, jamón, tomate, huevo, orégano.;;94837204;;;;13
